What is the supreme law of the land?|[the Constitution,Constitution]|1
What does the Constitution do?|[sets up the government,defines the government,protects basic rights of Americans]|1
The idea of self-government is in the first three words of the Constitution. What are these words?|We the People|1
What is an amendment?|[a change to the Constitution,an addition to the Constitution]|1
What do we call the first ten amendments to the Constitution?|[the Bill of Rights,Bill of Rights]|1
What is one right or freedom from the First Amendment?|[speech,religion,assembly,press,petition the government]|1
How many amendments does the Constitution have?|27|1
What did the Declaration of Independence do?|[announced our independence,declared our independence,said that the United States is free]|1
What are two rights in the Declaration of Independence?|[life,liberty,pursuit of happiness]|2
What is freedom of religion?|[You can practice any religion or not practice a religion]|1
What is the economic system in the United States?|[capitalist economy,market economy]|1
What is the "rule of law"?|[Everyone must follow the law,Leaders must obey the law,Government must obey the law,No one is above the law]|1
Name one branch or part of the government.|[Congress,legislative,President,executive,the courts,judicial]|1
What stops one branch of government from becoming too powerful?|[checks and balances,separation of powers]|1
Who is in charge of the executive branch?|[the President,president]|1
Who makes federal laws?|[Congress,Senate and House of Representatives,legislature]|1
What are the two parts of the U.S. Congress?|[Senate,the senate,House of Representatives]|2
How many U.S. Senators are there?|100|1
We elect a U.S. Senator for how many years?|6|1
Who is one of your state's U.S. Senators now?|[Patty Murray,Maria Cantwell]|1
The House of Representatives has how many voting members?|435|1
We elect a U.S. Representative for how many years?|2|1
Name your U.S. Representative.|Kim Schrier|1
Who does a U.S. Senator represent?|all people of the state|1
Why do some states have more Representatives than other states?|[the state's population,they have more people,some states have more people]|1
We elect a President for how many years?|4|1
In what month do we vote for President?|November|1
What is the name of the President of the United States now?|[Joe Biden,Biden,Joseph Robinette Biden]|1
What is the name of the Vice President of the United States now?|Kamala Harris|1
If the President can no longer serve, who becomes President?|[the Vice President,vice president]|1
If both the President and the Vice President can no longer serve, who becomes President?|[the Speaker of the House,speaker of the house]|1
Who is the Commander in Chief of the military?|[the President,president]|1
Who signs bills to become laws?|[the President,president]|1
Who vetoes bills?|[the President,president]|1
What does the President's Cabinet do?|advises the President|1
What are two Cabinet-level positions?|[Secretary of Agriculture,Secretary of Commerce,Secretary of Defense,Secretary of Education,Secretary of Energy,Secretary of Health and Human Services,Secretary of Homeland Security,Secretary of Housing and Urban Development,Secretary of the Interior,Secretary of Labor,Secretary of State,Secretary of Transportation,Secretary of the Treasury,Secretary of Veterans Affairs,Attorney General,Vice President]|2
What does the judicial branch do?|[reviews laws,explains laws,resolves disputes,decides if a law goes against the Constitution]|1
What is the highest court in the United States?|[the Supreme Court,supreme court]|1
How many justices are on the Supreme Court?|9|1
Who is the Chief Justice of the United States now?|John Roberts|1
Under our Constitution, some powers belong to the federal government. What is one power of the federal government?|[to print money,to declare war,to create an army,to make treaties]|1
Under our Constitution, some powers belong to the states. What is one power of the states?|[provide schooling and education,provide protection,provide safety,give a drivers license,approve zoning and land use]|1
Who is the Governor of your state now?|Jay Inslee|1
What is the capital of your state?|Olympia|1
What are the two major political parties in the United States?|Democratic and Republican|1
What is the political party of the President now?|Democrat party|1
What is the name of the Speaker of the House of Representatives now?|Mike Johnson|1
There are four amendments to the Constitution about who can vote. Describe one of them.|[Citizens 18 and older can vote,You don't have to pay a poll tax to vote,Any citizen can vote]|1
What is one responsibility that is only for United States citizens?|[serve on a jury,vote in a federal election]|1
Name one right only for United States citizens.|[vote in a federal election,run for federal office]|1
What are two rights of everyone living in the United States?|[freedom of expression,freedom of speech,freedom of assembly,freedom to petition the government,freedom of religion,the right to bear arms]|2
What do we show loyalty to when we say the Pledge of Allegiance?|[the United States,the flag]|1
What is one promise you make when you become a United States citizen?|[give up loyalty to other countries,defend the Constitution and laws of the United States,obey the laws of the United States,serve in the U.S. military,serve the nation,be loyal to the United States]|1
How old do citizens have to be to vote for President?|18|1
What are two ways that Americans can participate in their democracy?|[vote,join a political party,help with a campaign,join a civic group,join a community group,give an elected official your opinion on an issue,call Senators and Representatives,publicly support or oppose an issue or policy,run for office,write to a newspaper]|2
When is the last day you can send in federal income tax forms?|[April 15,April 15th]|1
When must all men register for the Selective Service?|[18,between 18 and 26]|1
What is one reason colonists came to America?|[freedom,political liberty,religious freedom,economic opportunity,practice their religion,escape persecution]|1
Who lived in America before the Europeans arrived?|[American Indians,Native Americans]|1
What group of people was taken to America and sold as slaves?|[Africans,people from Africa]|1
Why did the colonists fight the British?|[because of high taxes,taxation without representation,because the British army stayed in their houses,because they didn't have self-government]|1
Who wrote the Declaration of Independence?|Thomas Jefferson|1
When was the Declaration of Independence adopted?|[July 4 1776July 4th 1776]|1
There were 13 original states. Name three.|[New Hampshire,Massachusetts,Rhode Island,Connecticut,New York,New Jersey,Pennsylvania,Delaware,Maryland,Virginia,North Carolina,South Carolina,Georgia]|3
What happened at the Constitutional Convention?|[The Constitution was written,The Founding Fathers wrote the Constitution]|1
When was the Constitution written?|1787|1
The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.|[James Madison,Alexander Hamilton,John Jay,Publius]|1
What is one thing Benjamin Franklin is famous for?|[U.S. diplomat,oldest member of the Constitutional Convention,first Postmaster General of the United States,writer of Poor Richard's Almanac,started the first free libraries]|1
Who is the "Father of Our Country"?|[George Washington,Washington]|1
Who was the first President?|[George Washington,Washington]|1
What territory did the United States buy from France in 1803?|[the Louisiana Territory,Louisiana]|1
Name one war fought by the United States in the 1800s.|[War of 1812,Mexican-American War,Civil War,Spanish-American War]|1
Name the U.S. war between the North and the South.|[the Civil War,the War between the States,civil war]|1
Name one problem that led to the Civil War.|[slavery,economic reasons,states rights]|1
What was one important thing that Abraham Lincoln did?|[freed the slaves,Emancipation Proclamation,saved the Union,led the United States during the Civil War]|1
What did the Emancipation Proclamation do?|[freed the slaves,freed slaves in the Confederacy,freed slaves in the Confederate states,freed slaves in most Southern states]|1
What did Susan B. Anthony do?|[fought for womens rights,fought for civil rights]|1
Name one war fought by the United States in the 1900s.|[World War I,World War II,Korean War,Vietnam War,Gulf War]|1
Who was President during World War I?|Woodrow Wilson|1
Who was President during the Great Depression and World War II?|Franklin Roosevelt|1
Who did the United States fight in World War II?|[Japan,Germany,Italy]|3
Before he was President, Eisenhower was a general. What war was he in?|[World War II,world war 2]|1
During the Cold War, what was the main concern of the United States?|Communism|1
What movement tried to end racial discrimination?|[the civil rights movement,civil rights,civil rights movement]|1
What did Martin Luther King, Jr. do?|[fought for civil rights,worked for equality for all Americans]|1
What major event happened on September 11, 2001, in the United States?|Terrorists attacked the United States|1
Name one American Indian tribe in the United States.|[Cherokee,Navajo,Sioux,Chippewa,Choctaw,Pueblo,Apache,Iroquois,Creek,Blackfeet,Seminole,Cheyenne,Arawak,Shawnee,Mohegan,Huron,Oneida,Lakota,Crow,Teton,Hopi,Inuit]|1
Name one of the two longest rivers in the United States.|[Missouri,Mississippi]|1
What ocean is on the West Coast of the United States?|[Pacific,Pacific ocean]|1
What ocean is on the East Coast of the United States?|[Atlantic,Atlantic ocean]|1
Name one U.S. territory.|[Puerto Rico,U.S. Virgin Islands,American Samoa,Northern Mariana Islands,Guam]|1
Name one state that borders Canada.|[Maine,New Hampshire,Vermont,New York,Pennsylvania,Ohio,Michigan,Minnesota,North Dakota,Montana,Idaho,Washington,Alaska]|1
Name one state that borders Mexico.|[California,Arizona,New Mexico,Texas]|1
What is the capital of the United States?|Washington DC|1
Where is the Statue of Liberty?|[New York,New York City,Liberty Island]|1
Why does the flag have 13 stripes?|[because there were 13 original colonies,because the stripes represent the original colonies]|1
Why does the flag have 50 stars?|[because there is one star for each state,because each star represents a state,because there are 50 states]|1
What is the name of the national anthem?|[The Star-Spangled Banner,Star Spangled Banner]|1
When do we celebrate Independence Day?|[July 4,July 4th]|1
Name two national U.S. holidays.|[New Years Day,Martin Luther King Jr. Day,Presidents Day,Memorial Day,Juneteenth,Independence Day,Labor Day,Columbus Day,Veterans Day,Thanksgiving,Christmas,Christmas Day]|2
